name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;415;0;198;3215;1042;3215;1018;0
header;192;157;192;198;1799;198;1799;157
A;982;229;982;257;1004;257;1004;229
A;698;466;698;472;703;472;703;466
A;738;603;738;608;744;608;744;603
B;988;916;988;942;1006;942;1006;916
C;990;1593;990;1624;1012;1624;1012;1593
B;515;1999;515;2011;523;2011;523;1999
D;992;2272;992;2299;1012;2299;1012;2272
A;809;2675;809;2683;814;2683;814;2675
A;892;2815;892;2819;897;2819;897;2815
B;232;2877;232;2892;242;2892;242;2877
